t,joy_roll,joy_pitch,joy_yaw,gyro_roll,gyro_pitch,gyro_yaw,out_roll,out_pitch,out_yaw
3.4500,0.4000,0.6000,0.1545,96.2775,154.0824,-397.9957,96.2826,154.0836,-485.1050
3.4667,0.4000,0.6000,0.1040,96.2796,154.0829,-430.6106,96.2845,154.0841,-506.7120
3.4833,0.4000,0.6000,0.0523,96.2815,154.0834,-458.6640,96.2862,154.0845,-524.1220
3.5000,0.4000,0.6000,0.0000,96.2834,154.0838,-438.0832,96.2878,154.0849,-390.0613
3.5167,0.4000,0.6000,-0.0523,96.2852,154.0842,-417.3464,96.2894,154.0852,-368.9605
3.5333,0.4000,0.6000,-0.1040,96.2869,154.0846,-439.7527,96.2908,154.0856,-492.0339
3.5500,0.4000,0.6000,-0.1545,96.2885,154.0850,-461.8683,96.2922,154.0859,-513.4716
3.5667,0.4000,0.6000,-0.2034,96.2900,154.0854,-483.0179,96.2936,154.0862,-532.3669
3.5833,0.4000,0.6000,-0.2500,96.2915,154.0857,-497.2887,96.2948,154.0865,-530.5872
3.6000,0.4000,0.6000,-0.2939,96.2928,154.0860,-504.5039,96.2960,154.0868,-521.3396
3.6167,0.4000,0.6000,-0.3346,96.2941,154.0863,-504.2608,96.2971,154.0871,-503.6933
3.6333,0.4000,0.6000,-0.3716,96.2953,154.0866,-496.7686,96.2982,154.0873,-479.2871
3.6500,0.4000,0.6000,-0.4045,96.2965,154.0869,-482.1526,96.2992,154.0875,-448.0485
3.6667,0.4000,0.6000,-0.4330,96.2976,154.0872,-460.5707,96.3001,154.0878,-410.2130
3.6833,0.4000,0.6000,-0.4568,96.2986,154.0874,-432.1669,96.3010,154.0880,-365.8912
3.7000,0.4000,0.6000,-0.4755,96.2996,154.0876,-397.1540,96.3019,154.0882,-315.4573
3.7167,0.4000,0.6000,-0.4891,96.3005,154.0879,-355.8662,96.3027,154.0884,-259.5279
3.7333,0.4000,0.6000,-0.4973,96.3014,154.0881,-308.8015,96.3035,154.0886,-198.9839
3.7500,0.4000,0.6000,-0.5000,96.3022,154.0883,-256.6408,96.3042,154.0887,-134.9326
3.7667,0.4000,0.6000,-0.4973,96.3030,154.0885,-200.2451,96.3049,154.0889,-68.6550
3.7833,0.4000,0.6000,-0.4891,96.3038,154.0886,-140.6315,96.3055,154.0891,-1.5333
3.8000,0.4000,0.6000,-0.4755,96.3045,154.0888,-78.9316,96.3061,154.0892,65.0351
3.8167,0.4000,0.6000,-0.4568,96.3052,154.0890,-16.3306,96.3067,154.0893,129.7384
3.8333,0.4000,0.6000,-0.4330,96.3058,154.0891,45.9842,96.3073,154.0895,191.3853
3.8500,0.4000,0.6000,-0.4045,96.3064,154.0893,106.8842,96.3078,154.0896,248.9842
3.8667,0.4000,0.6000,-0.3716,96.3070,154.0894,165.3535,96.3083,154.0897,301.7820
3.8833,0.4000,0.6000,-0.3346,96.3075,154.0895,220.5341,96.3088,154.0898,349.2887
3.9000,0.4000,0.6000,-0.2939,96.3080,154.0896,271.7565,96.3092,154.0899,391.2755
3.9167,0.4000,0.6000,-0.2500,96.3085,154.0898,318.5548,96.3097,154.0900,427.7510
3.9333,0.4000,0.6000,-0.2034,96.3090,154.0899,360.6633,96.3101,154.0901,458.9164
3.9500,0.4000,0.6000,-0.1545,96.3094,154.0900,397.9959,96.3104,154.0902,485.1051
3.9667,0.4000,0.6000,-0.1040,96.3098,154.0901,430.6107,96.3108,154.0903,506.7121
3.9833,0.4000,0.6000,-0.0523,96.3102,154.0902,458.6641,96.3111,154.0904,524.1221
4.0000,0.4000,0.6000,-0.0000,96.3106,154.0903,438.0833,96.3115,154.0905,390.0614
4.0167,0.4000,0.6000,0.0523,96.3109,154.0903,417.3465,96.3118,154.0905,368.9606
4.0333,0.4000,0.6000,0.1040,96.3113,154.0904,439.7528,96.3121,154.0906,492.0340
4.0500,0.4000,0.6000,0.1545,96.3116,154.0905,461.8684,96.3123,154.0907,513.4717
4.0667,0.4000,0.6000,0.2034,96.3119,154.0906,483.0180,96.3126,154.0907,532.3669
4.0833,0.4000,0.6000,0.2500,96.3122,154.0906,497.2888,96.3128,154.0908,530.5873
4.1000,0.4000,0.6000,0.2939,96.3124,154.0907,504.5040,96.3131,154.0908,521.3396
4.1167,0.4000,0.6000,0.3346,96.3127,154.0908,504.2608,96.3133,154.0909,503.6934
4.1333,0.4000,0.6000,0.3716,96.3129,154.0908,496.7687,96.3135,154.0909,479.2871
4.1500,0.4000,0.6000,0.4045,96.3132,154.0909,482.1527,96.3137,154.0910,448.0486
4.1667,0.4000,0.6000,0.4330,96.3134,154.0909,460.5708,96.3139,154.0910,410.2131
4.1833,0.4000,0.6000,0.4568,96.3136,154.0910,432.1669,96.3141,154.0911,365.8912
4.2000,0.4000,0.6000,0.4755,96.3138,154.0910,397.1541,96.3142,154.0911,315.4574
4.2167,0.4000,0.6000,0.4891,96.3140,154.0911,355.8662,96.3144,154.0912,259.5280
4.2333,0.4000,0.6000,0.4973,96.3141,154.0911,308.8015,96.3145,154.0912,198.9839
4.2500,0.4000,0.6000,0.5000,96.3143,154.0911,256.6409,96.3147,154.0912,134.9326
4.2667,0.4000,0.6000,0.4973,96.3145,154.0912,200.2451,96.3148,154.0913,68.6551
4.2833,0.4000,0.6000,0.4891,96.3146,154.0912,140.6316,96.3149,154.0913,1.5333
4.3000,0.4000,0.6000,0.4755,96.3147,154.0912,78.9316,96.3151,154.0913,-65.0350
4.3167,0.4000,0.6000,0.4568,96.3149,154.0913,16.3306,96.3152,154.0913,-129.7384
4.3333,0.4000,0.6000,0.4330,96.3150,154.0913,-45.9842,96.3153,154.0914,-191.3853
4.3500,0.4000,0.6000,0.4045,96.3151,154.0913,-106.8842,96.3154,154.0914,-248.9842
4.3667,0.4000,0.6000,0.3716,96.3152,154.0914,-165.3535,96.3155,154.0914,-301.7820
4.3833,0.4000,0.6000,0.3346,96.3153,154.0914,-220.5340,96.3156,154.0914,-349.2886
4.4000,0.4000,0.6000,0.2939,96.3154,154.0914,-271.7565,96.3157,154.0915,-391.2754
4.4167,0.4000,0.6000,0.2500,96.3155,154.0914,-318.5548,96.3158,154.0915,-427.7510
4.4333,0.4000,0.6000,0.2034,96.3156,154.0914,-360.6633,96.3158,154.0915,-458.9164
